X1,Y1,X2,Y2,,,,,,,,,,,,,,,,
-2.27E-03,-1.20E-01,-2.27E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.27E-03,-1.40E-01,-2.27E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.27E-03,-1.20E-01,-2.27E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.26E-03,-1.40E-01,-2.26E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.26E-03,-1.40E-01,-2.26E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.26E-03,-1.40E-01,-2.26E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.26E-03,-1.40E-01,-2.26E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.26E-03,-1.60E-01,-2.26E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.25E-03,-1.60E-01,-2.25E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.25E-03,-1.80E-01,-2.25E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.25E-03,-1.80E-01,-2.25E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.25E-03,-1.60E-01,-2.25E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.25E-03,-1.80E-01,-2.25E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.24E-03,-1.80E-01,-2.24E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.24E-03,-1.80E-01,-2.24E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.24E-03,-2.00E-01,-2.24E-03,-2.3999999,,,,,,,,,,,,,,,,
-2.24E-03,-2.20E-01,-2.24E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.24E-03,-2.20E-01,-2.24E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.23E-03,-2.20E-01,-2.23E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.23E-03,-2.00E-01,-2.23E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.23E-03,-2.40E-01,-2.23E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.23E-03,-2.40E-01,-2.23E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.23E-03,-2.20E-01,-2.23E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.22E-03,-2.40E-01,-2.22E-03,-2.3199999,,,,,,,,,,,,,,,,
-2.22E-03,-2.40E-01,-2.22E-03,-2.24,,,,,,,,,,,,,,,,
-2.22E-03,-2.40E-01,-2.22E-03,-2.24,,,,,,,,,,,,,,,,
-2.22E-03,-2.60E-01,-2.22E-03,-2.24,,,,,,,,,,,,,,,,
-2.22E-03,-2.60E-01,-2.22E-03,-2.24,,,,,,,,,,,,,,,,
-2.21E-03,-2.80E-01,-2.21E-03,-2.24,,,,,,,,,,,,,,,,
-2.21E-03,-2.60E-01,-2.21E-03,-2.24,,,,,,,,,,,,,,,,
-2.21E-03,-2.80E-01,-2.21E-03,-2.24,,,,,,,,,,,,,,,,
-2.21E-03,-2.80E-01,-2.21E-03,-2.1599998,,,,,,,,,,,,,,,,
-2.21E-03,-2.80E-01,-2.21E-03,-2.1599998,,,,,,,,,,,,,,,,
-2.20E-03,-2.80E-01,-2.20E-03,-2.1599998,,,,,,,,,,,,,,,,
-2.20E-03,-2.80E-01,-2.20E-03,-2.1599998,,,,,,,,,,,,,,,,
-2.20E-03,-3.00E-01,-2.20E-03,-2.1599998,,,,,,,,,,,,,,,,
-2.20E-03,-3.00E-01,-2.20E-03,-2.0799999,,,,,,,,,,,,,,,,
-2.20E-03,-2.80E-01,-2.20E-03,-2.0799999,,,,,,,,,,,,,,,,
-2.19E-03,-3.00E-01,-2.19E-03,-2.0799999,,,,,,,,,,,,,,,,
-2.19E-03,-3.00E-01,-2.19E-03,-2,,,,,,,,,,,,,,,,
-2.19E-03,-3.00E-01,-2.19E-03,-2.0799999,,,,,,,,,,,,,,,,
-2.19E-03,-3.00E-01,-2.19E-03,-2,,,,,,,,,,,,,,,,
-2.19E-03,-3.20E-01,-2.19E-03,-2,,,,,,,,,,,,,,,,
-2.18E-03,-3.00E-01,-2.18E-03,-1.92,,,,,,,,,,,,,,,,
-2.18E-03,-3.60E-01,-2.18E-03,-1.92,,,,,,,,,,,,,,,,
-2.18E-03,-3.40E-01,-2.18E-03,-1.92,,,,,,,,,,,,,,,,
-2.18E-03,-3.40E-01,-2.18E-03,-1.92,,,,,,,,,,,,,,,,
-2.18E-03,-3.40E-01,-2.18E-03,-1.8399999,,,,,,,,,,,,,,,,
-2.17E-03,-3.40E-01,-2.17E-03,-1.92,,,,,,,,,,,,,,,,
-2.17E-03,-3.60E-01,-2.17E-03,-1.8399999,,,,,,,,,,,,,,,,
-2.17E-03,-3.60E-01,-2.17E-03,-1.8399999,,,,,,,,,,,,,,,,
-2.17E-03,-3.40E-01,-2.17E-03,-1.8399999,,,,,,,,,,,,,,,,
-2.17E-03,-3.60E-01,-2.17E-03,-1.8399999,,,,,,,,,,,,,,,,
-2.16E-03,-3.60E-01,-2.16E-03,-1.76,,,,,,,,,,,,,,,,
-2.16E-03,-3.60E-01,-2.16E-03,-1.76,,,,,,,,,,,,,,,,
-2.16E-03,-3.60E-01,-2.16E-03,-1.76,,,,,,,,,,,,,,,,
-2.16E-03,-3.80E-01,-2.16E-03,-1.76,,,,,,,,,,,,,,,,
-2.16E-03,-3.60E-01,-2.16E-03,-1.6799999,,,,,,,,,,,,,,,,
-2.15E-03,-3.80E-01,-2.15E-03,-1.6799999,,,,,,,,,,,,,,,,
-2.15E-03,-3.60E-01,-2.15E-03,-1.5999999,,,,,,,,,,,,,,,,
-2.15E-03,-3.80E-01,-2.15E-03,-1.5999999,,,,,,,,,,,,,,,,
-2.15E-03,-3.80E-01,-2.15E-03,-1.5999999,,,,,,,,,,,,,,,,
-2.15E-03,-3.80E-01,-2.15E-03,-1.52,,,,,,,,,,,,,,,,
-2.14E-03,-3.80E-01,-2.14E-03,-1.52,,,,,,,,,,,,,,,,
-2.14E-03,-3.60E-01,-2.14E-03,-1.52,,,,,,,,,,,,,,,,
-2.14E-03,-3.80E-01,-2.14E-03,-1.4399999,,,,,,,,,,,,,,,,
