Corriente;Flujo;Integral;
0.285;0.55;;
0.31;0.58;;
0.333;0.6;;
0.352;0.61;;
0.368;0.62;;
0.38;0.63;;
0.388;0.64;;
0.392;0.64;;
0.393;0.64;;
0.388;0.64;;
0.378;0.64;;
0.365;0.64;;
0.353;0.64;;
0.34;0.63;;
0.328;0.63;;
0.314;0.63;;
0.301;0.63;;
0.288;0.62;;
0.275;0.62;;
0.262;0.62;;
0.249;0.61;;
0.236;0.61;;
0.224;0.6;;
0.212;0.6;;
0.2;0.59;;
0.188;0.58;;
0.176;0.58;;
0.165;0.57;;
0.153;0.56;;
0.142;0.55;;
0.131;0.54;;
0.12;0.53;;
0.111;0.52;;
0.101;0.51;;
0.089;0.5;;
0.081;0.49;;
0.071;0.47;;
0.061;0.46;;
