Distance_(cm),Gray_Value
16.8138,25.753
16.8402,24.892
16.8667,24.532
16.8931,25.231
16.9195,26.694
16.9460,28.290
16.9724,30.263
16.9988,31.694
17.0253,33.290
17.0517,34.565
17.0782,35.753
17.1046,36.360
17.1310,37.070
17.1575,37.978
17.1839,39.242
17.2103,39.382
17.2368,39.763
17.2632,40.403
17.2897,40.989
17.3161,42.038
17.3425,42.683
17.3690,43.554
17.3954,44.505
17.4218,45.538
17.4483,46.640
17.4747,47.118
17.5012,47.753
17.5276,48.210
17.5540,48.522
17.5805,49.247
17.6069,49.591
17.6333,50.887
17.6598,51.597
17.6862,52.371
17.7126,52.817
17.7391,53.624
17.7655,53.871
17.7920,54.887
17.8184,55.823
17.8448,56.145
17.8713,56.618
17.8977,57.306
17.9241,57.914
17.9506,58.597
17.9770,59.565
18.0034,60.489
18.0299,61.247
18.0563,62.075
18.0828,63.177
18.1092,63.790
18.1356,64.457
18.1621,65.102
18.1885,65.898
18.2149,66.586
18.2414,67.581
18.2678,69.253
18.2943,70.688
18.3207,71.296
18.3471,72.656
18.3736,74.016
18.4000,75.263
18.4264,76.124
18.4529,77.215
18.4793,78.371
18.5057,79.081
18.5322,80.414
18.5586,81.731
18.5851,82.602
18.6115,83.570
18.6379,84.763
18.6644,85.602
18.6908,86.699
18.7172,87.747
18.7437,88.898
18.7701,89.935
18.7966,91.124
18.8230,92.231
18.8494,93.742
18.8759,94.704
18.9023,95.909
18.9287,96.661
18.9552,97.731
18.9816,99.194
19.0080,100.199
19.0345,101.640
19.0609,103.247
19.0874,104.543
19.1138,105.645
19.1402,106.930
19.1667,108.226
19.1931,109.581
19.2195,111.258
19.2460,112.968
19.2724,113.876
19.2989,115.317
19.3253,116.618
19.3517,117.597
19.3782,119.188
19.4046,120.946
19.4310,122.688
19.4575,123.887
19.4839,125.430
19.5103,127.597
19.5368,129.500
19.5632,131.301
19.5897,133.285
19.6161,135.253
19.6425,137.081
19.6690,139.263
19.6954,141.419
19.7218,143.285
19.7483,145.151
19.7747,147.005
19.8011,148.774
19.8276,150.586
19.8540,152.737
19.8805,154.500
19.9069,156.430
19.9333,158.215
19.9598,159.887
19.9862,161.167
20.0126,162.941
20.0391,164.774
20.0655,166.360
20.0920,167.753
20.1184,169.349
20.1448,170.989
20.1713,172.930
20.1977,174.608
20.2241,176.210
20.2506,178.183
20.2770,179.844
20.3034,181.177
20.3299,182.355
20.3563,183.844
20.3828,184.989
20.4092,186.247
20.4356,187.548
20.4621,188.554
20.4885,189.559
20.5149,190.226
20.5414,191.011
20.5678,191.688
20.5943,192.247
20.6207,192.737
20.6471,192.860
20.6736,192.645
20.7000,192.027
20.7264,190.479
20.7529,188.038
20.7793,181.769
20.8057,166.000
20.8322,148.731
20.8586,133.167
20.8851,122.919
20.9115,117.978
20.9379,115.919
20.9644,114.898
20.9908,114.172
21.0172,114.349
21.0437,115.285
21.0701,116.376
21.0966,118.038
21.1230,119.828
21.1494,121.898
21.1759,124.263
21.2023,126.586
21.2287,128.882
21.2552,130.973
21.2816,133.452
21.3080,135.253
21.3345,136.919
21.3609,139.032
21.3874,140.833
21.4138,142.903
21.4402,145.521
21.4667,148.489
21.4931,151.323
21.5195,153.935
21.5460,156.446
21.5724,159.043
21.5989,161.710
21.6253,164.667
21.6517,167.538
21.6782,170.226
21.7046,173.188
21.7310,176.011
21.7575,178.613
21.7839,180.753
21.8103,183.296
21.8368,185.909
21.8632,188.435
21.8897,190.876
21.9161,193.199
21.9425,195.656
21.9690,197.882
21.9954,199.973
22.0218,202.280
22.0483,204.263
22.0747,206.473
22.1011,208.527
22.1276,210.817
22.1540,212.968
22.1805,214.855
22.2069,216.538
22.2333,218.140
22.2598,219.763
22.2862,223.839
22.3126,229.763
22.3391,241.511
22.3655,249.194
22.3920,252.849
22.4184,253.742
22.4448,254.156
22.4713,254.892
22.4977,254.995
22.5241,255.000
22.5506,255.000
22.5770,255.000
22.6034,255.000
22.6299,255.000
22.6563,255.000
22.6828,255.000
22.7092,255.000
22.7356,255.000
22.7621,255.000
22.7885,254.823
22.8149,254.425
22.8414,253.731
22.8678,252.452
22.8943,248.247
22.9207,241.446
22.9471,235.887
22.9736,232.763
23.0000,231.011
23.0264,229.720
23.0529,228.586
23.0793,227.118
23.1057,225.521
23.1322,223.667
23.1586,222.043
23.1851,220.317
23.2115,218.694
23.2379,216.699
23.2644,214.941
23.2908,212.968
23.3172,211.237
23.3437,209.489
23.3701,207.753
23.3966,205.952
23.4230,204.199
