Sinusoidal, 0.1Hz, 2V;;Saturación;;Sinusoidal, 0.3Hz, 2V;;Saturación;;Sierra, 0.1Hz, 2V;;Saturación;;Sierra, 0.3Hz, 2V;;Saturación;
I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs
-0.46;-0.32;;;-0.361;-0.06;;;-0.413;-0.36;;;-0.243;-0.17;;
-0.462;-0.33;;;-0.387;-0.1;;;-0.399;-0.35;;;-0.215;-0.16;;
-0.462;-0.34;;;-0.409;-0.13;;;-0.382;-0.35;;;-0.185;-0.16;;
-0.461;-0.35;;;-0.427;-0.16;;;-0.365;-0.35;;;-0.156;-0.15;;
-0.459;-0.35;;;-0.443;-0.19;;;-0.347;-0.35;;;-0.126;-0.15;;
-0.454;-0.36;;;-0.454;-0.22;;;-0.33;-0.34;;;-0.096;-0.14;;
-0.45;-0.36;;;-0.461;-0.24;;;-0.311;-0.34;;;-0.067;-0.13;;
-0.443;-0.36;;;-0.464;-0.26;;;-0.293;-0.34;;;-0.038;-0.12;;
-0.435;-0.36;;;-0.461;-0.27;;;-0.276;-0.33;;;-0.009;-0.1;;
-0.427;-0.36;;;-0.452;-0.28;;;-0.258;-0.33;;;0.019;-0.09;;
-0.415;-0.36;;;-0.438;-0.29;;;-0.239;-0.32;;;0.046;-0.08;;
-0.401;-0.36;;;-0.416;-0.29;;;-0.222;-0.32;;;0.072;-0.06;;
-0.386;-0.36;;;-0.39;-0.3;;;-0.203;-0.31;;;0.097;-0.04;;
-0.369;-0.36;;;-0.357;-0.3;;;-0.185;-0.31;;;0.119;-0.02;;
-0.354;-0.36;;;-0.32;-0.29;;;-0.168;-0.3;;;0.141;0;;
-0.339;-0.35;;;-0.279;-0.29;;;-0.15;-0.3;;;0.16;0.03;;
-0.322;-0.35;;;-0.234;-0.28;;;-0.132;-0.29;;;0.18;0.05;;
-0.304;-0.35;;;-0.188;-0.27;;;-0.115;-0.28;;;0.202;0.08;;
-0.286;-0.34;;;-0.141;-0.26;;;-0.098;-0.28;;;0.225;0.11;;
-0.268;-0.34;;;-0.093;-0.24;;;-0.079;-0.27;;;0.25;0.15;;
-0.25;-0.34;;;-0.049;-0.23;;;-0.062;-0.26;;;0.277;0.18;;
-0.232;-0.33;;;-0.004;-0.21;;;-0.045;-0.25;;;0.306;0.21;;
-0.211;-0.33;;;0.038;-0.19;;;-0.029;-0.24;;;0.334;0.25;;
-0.192;-0.32;;;0.078;-0.16;;;-0.011;-0.23;;;0.347;0.28;;
-0.172;-0.32;;;0.112;-0.13;;;0.004;-0.22;;;0.352;0.3;;
-0.152;-0.31;;;0.142;-0.1;;;0.021;-0.21;;;0.352;0.32;;
-0.132;-0.3;;;0.171;-0.07;;;0.037;-0.2;;;0.349;0.34;;
-0.112;-0.3;;;0.198;-0.03;;;0.053;-0.19;;;0.342;0.35;;
-0.091;-0.29;;;0.226;0;;;0.068;-0.18;;;0.331;0.36;;
-0.073;-0.28;;;0.256;0.04;;;0.083;-0.17;;;0.317;0.36;;
-0.059;-0.27;;;0.284;0.08;;;0.097;-0.15;;;0.298;0.37;;
-0.05;-0.27;;;0.314;0.12;;;0.111;-0.14;;;0.278;0.37;;
