X1,Y1,X2,Y2,,,,,,
-2.21E-03,2.96E-01,-2.21E-03,2.88E-01,,,,,,
-2.21E-03,2.96E-01,-2.21E-03,2.88E-01,,,,,,
-2.20E-03,2.96E-01,-2.20E-03,2.88E-01,,,,,,
-2.20E-03,2.96E-01,-2.20E-03,2.88E-01,,,,,,
-2.20E-03,2.96E-01,-2.20E-03,2.88E-01,,,,,,
-2.20E-03,2.96E-01,-2.20E-03,2.88E-01,,,,,,
-2.20E-03,2.96E-01,-2.20E-03,2.88E-01,,,,,,
-2.19E-03,2.96E-01,-2.19E-03,2.80E-01,,,,,,
-2.19E-03,2.96E-01,-2.19E-03,2.80E-01,,,,,,
-2.19E-03,2.96E-01,-2.19E-03,2.80E-01,,,,,,
-2.19E-03,2.96E-01,-2.19E-03,2.96E-01,,,,,,
-2.19E-03,3.04E-01,-2.19E-03,2.88E-01,,,,,,
-2.18E-03,2.96E-01,-2.18E-03,2.88E-01,,,,,,
-2.18E-03,2.96E-01,-2.18E-03,2.88E-01,,,,,,
-2.18E-03,2.96E-01,-2.18E-03,2.88E-01,,,,,,
-2.18E-03,2.88E-01,-2.18E-03,2.96E-01,,,,,,
-2.18E-03,2.96E-01,-2.18E-03,2.88E-01,,,,,,
-2.17E-03,2.88E-01,-2.17E-03,2.88E-01,,,,,,
-2.17E-03,2.88E-01,-2.17E-03,2.96E-01,,,,,,
-2.17E-03,2.96E-01,-2.17E-03,2.96E-01,,,,,,
-2.17E-03,2.88E-01,-2.17E-03,2.88E-01,,,,,,
-2.17E-03,2.88E-01,-2.17E-03,2.88E-01,,,,,,
-2.16E-03,2.88E-01,-2.16E-03,2.80E-01,,,,,,
-2.16E-03,2.80E-01,-2.16E-03,2.88E-01,,,,,,
-2.16E-03,2.88E-01,-2.16E-03,2.80E-01,,,,,,
-2.16E-03,2.80E-01,-2.16E-03,2.88E-01,,,,,,
-2.16E-03,2.88E-01,-2.16E-03,2.88E-01,,,,,,
-2.15E-03,2.80E-01,-2.15E-03,2.80E-01,,,,,,
-2.15E-03,2.88E-01,-2.15E-03,2.80E-01,,,,,,
-2.15E-03,2.80E-01,-2.15E-03,2.88E-01,,,,,,
-2.15E-03,2.72E-01,-2.15E-03,2.72E-01,,,,,,
-2.15E-03,2.72E-01,-2.15E-03,2.72E-01,,,,,,
-2.14E-03,2.72E-01,-2.14E-03,2.72E-01,,,,,,
-2.14E-03,2.72E-01,-2.14E-03,2.72E-01,,,,,,
-2.14E-03,2.72E-01,-2.14E-03,2.72E-01,,,,,,
-2.14E-03,2.72E-01,-2.14E-03,2.72E-01,,,,,,
-2.14E-03,2.72E-01,-2.14E-03,2.72E-01,,,,,,
-2.13E-03,2.64E-01,-2.13E-03,2.64E-01,,,,,,
-2.13E-03,2.72E-01,-2.13E-03,2.64E-01,,,,,,
-2.13E-03,2.64E-01,-2.13E-03,2.72E-01,,,,,,
-2.13E-03,2.64E-01,-2.13E-03,2.64E-01,,,,,,
-2.13E-03,2.64E-01,-2.13E-03,2.56E-01,,,,,,
-2.12E-03,2.56E-01,-2.12E-03,2.64E-01,,,,,,
-2.12E-03,2.64E-01,-2.12E-03,2.56E-01,,,,,,
-2.12E-03,2.64E-01,-2.12E-03,2.48E-01,,,,,,
-2.12E-03,2.56E-01,-2.12E-03,2.64E-01,,,,,,
-2.12E-03,2.64E-01,-2.12E-03,2.56E-01,,,,,,
