X1,Y1,X2,Y2,,,,
-3.52E-03,-7.20E-01,-3.52E-03,-2.3999999,,,,
-3.52E-03,-7.20E-01,-3.52E-03,-2.3199999,,,,
-3.52E-03,-7.60E-01,-3.52E-03,-2.3199999,,,,
-3.51E-03,-7.20E-01,-3.51E-03,-2.3199999,,,,
-3.51E-03,-7.60E-01,-3.51E-03,-2.3999999,,,,
-3.50E-03,-7.60E-01,-3.50E-03,-2.3199999,,,,
-3.50E-03,-7.60E-01,-3.50E-03,-2.3999999,,,,
-3.50E-03,-7.60E-01,-3.50E-03,-2.3199999,,,,
-3.49E-03,-7.60E-01,-3.49E-03,-2.3199999,,,,
-3.49E-03,-7.60E-01,-3.49E-03,-2.3199999,,,,
-3.48E-03,-8.00E-01,-3.48E-03,-2.3199999,,,,
-3.48E-03,-8.00E-01,-3.48E-03,-2.3199999,,,,
-3.48E-03,-8.00E-01,-3.48E-03,-2.3199999,,,,
-3.47E-03,-8.00E-01,-3.47E-03,-2.3199999,,,,
-3.47E-03,-8.00E-01,-3.47E-03,-2.24,,,,
-3.46E-03,-8.00E-01,-3.46E-03,-2.24,,,,
-3.46E-03,-8.40E-01,-3.46E-03,-2.24,,,,
-3.46E-03,-8.40E-01,-3.46E-03,-2.3199999,,,,
-3.45E-03,-8.40E-01,-3.45E-03,-2.24,,,,
-3.45E-03,-8.40E-01,-3.45E-03,-2.24,,,,
-3.44E-03,-8.40E-01,-3.44E-03,-2.24,,,,
-3.44E-03,-8.40E-01,-3.44E-03,-2.24,,,,
-3.44E-03,-8.80E-01,-3.44E-03,-2.24,,,,
-3.43E-03,-8.80E-01,-3.43E-03,-2.1599998,,,,
-3.43E-03,-8.80E-01,-3.43E-03,-2.24,,,,
-3.42E-03,-8.40E-01,-3.42E-03,-2.1599998,,,,
-3.42E-03,-8.80E-01,-3.42E-03,-2.1599998,,,,
-3.42E-03,-9.20E-01,-3.42E-03,-2.1599998,,,,
-3.41E-03,-8.80E-01,-3.41E-03,-2.1599998,,,,
-3.41E-03,-8.80E-01,-3.41E-03,-2.1599998,,,,
-3.40E-03,-8.80E-01,-3.40E-03,-2.1599998,,,,
-3.40E-03,-9.20E-01,-3.40E-03,-2.1599998,,,,
-3.40E-03,-9.20E-01,-3.40E-03,-2.0799999,,,,
-3.39E-03,-9.20E-01,-3.39E-03,-2.0799999,,,,
-3.39E-03,-9.20E-01,-3.39E-03,-2.1599998,,,,
-3.38E-03,-9.20E-01,-3.38E-03,-2.0799999,,,,
-3.38E-03,-9.20E-01,-3.38E-03,-2.0799999,,,,
-3.38E-03,-9.20E-01,-3.38E-03,-2.0799999,,,,
-3.37E-03,-9.60E-01,-3.37E-03,-2.0799999,,,,
-3.37E-03,-9.60E-01,-3.37E-03,-2,,,,
-3.36E-03,-9.60E-01,-3.36E-03,-2.0799999,,,,
