Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;;;
;;;-11680;-799999952.3;;;;;-11680;-17999999.23;;;;
;;;-11670;-799999952.3;;;;;-11670;-15999999.64;;;;
;;;-11660;-759999990.5;;;;;-11660;-15999999.64;;;;
;;;-11650;-799999952.3;;;;;-11650;-17999999.23;;;;
;;;-11640;-759999990.5;;;;;-11640;-15999999.64;;;;
;;;-11630;-759999990.5;;;;;-11630;-17999999.23;;;;
;;;-11620;-759999990.5;;;;;-11620;-17999999.23;;;;
;;;-11610;-759999990.5;;;;;-11610;-17999999.23;;;;
;;;-11600.001;-759999990.5;;;;;-11600.001;-17999999.23;;;;
;;;-11590.001;-759999990.5;;;;;-11590.001;-17999999.23;;;;
;;;-11580.001;-759999990.5;;;;;-11580.001;-17999999.23;;;;
;;;-11570.001;-759999990.5;;;;;-11570.001;-17999999.23;;;;
;;;-11560.001;-719999969;;;;;-11560.001;-17999999.23;;;;
;;;-11550.001;-759999990.5;;;;;-11550.001;-15999999.64;;;;
;;;-11540.001;-719999969;;;;;-11540.001;-17999999.23;;;;
;;;-11530;-719999969;;;;;-11530;-19999998.81;;;;
;;;-11520;-759999990.5;;;;;-11520;-19999998.81;;;;
;;;-11510;-719999969;;;;;-11510;-19999998.81;;;;
;;;-11500;-719999969;;;;;-11500;-19999998.81;;;;
;;;-11490;-719999969;;;;;-11490;-19999998.81;;;;
;;;-11480;-719999969;;;;;-11480;-17999999.23;;;;
;;;-11470;-719999969;;;;;-11470;-17999999.23;;;;
;;;-11460;-719999969;;;;;-11460;-19999998.81;;;;
;;;-11450;-680000007.2;;;;;-11450;-19999998.81;;;;
;;;-11440.001;-680000007.2;;;;;-11440.001;-17999999.23;;;;
;;;-11430.001;-680000007.2;;;;;-11430.001;-19999998.81;;;;
;;;-11420.001;-639999985.7;;;;;-11420.001;-19999998.81;;;;
;;;-11410.001;-680000007.2;;;;;-11410.001;-19999998.81;;;;
;;;-11400.001;-639999985.7;;;;;-11400.001;-19999998.81;;;;
;;;-11390.001;-680000007.2;;;;;-11390.001;-15999999.64;;;;
;;;-11380.001;-639999985.7;;;;;-11380.001;-19999998.81;;;;
;;;-11370;-680000007.2;;;;;-11370;-19999998.81;;;;
;;;-11360;-639999985.7;;;;;-11360;-19999998.81;;;;
;;;-11350;-639999985.7;;;;;-11350;-19999998.81;;;;
;;;-11340;-639999985.7;;;;;-11340;-19999998.81;;;;
;;;-11330;-599999964.2;;;;;-11330;-19999998.81;;;;
;;;-11320;-639999985.7;;;;;-11320;-19999998.81;;;;
;;;-11310;-599999964.2;;;;;-11310;-19999998.81;;;;
;;;-11300;-599999964.2;;;;;-11300;-19999998.81;;;;
;;;-11290.001;-599999964.2;;;;;-11290.001;-19999998.81;;;;
