Sinusoidal, 0.1Hz, 2V;;Saturacion;;Sinusoidal, 0.3Hz, 2V;;Saturacion;;Sierra, 0.1Hz, 2V;;Saturacion;;Sierra, 0.3Hz, 2V;;Saturacion;
Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo
-0.344;-0.66;;;0.007;0.4;;;-0.252;-0.59;;;-0.024;0.19;;
-0.379;-0.68;;;-0.007;0.35;;;-0.279;-0.63;;;-0.034;0.14;;
-0.413;-0.71;;;-0.02;0.3;;;-0.304;-0.65;;;-0.044;0.08;;
-0.447;-0.73;;;-0.032;0.25;;;-0.328;-0.68;;;-0.054;0.03;;
-0.477;-0.75;;;-0.043;0.2;;;-0.349;-0.69;;;-0.066;-0.02;;
-0.503;-0.76;;;-0.056;0.15;;;-0.367;-0.71;;;-0.079;-0.07;;
-0.526;-0.77;;;-0.068;0.1;;;-0.381;-0.72;;;-0.095;-0.12;;
-0.544;-0.78;;;-0.081;0.05;;;-0.392;-0.73;;;-0.112;-0.17;;
-0.557;-0.78;;;-0.096;-0.01;;;-0.398;-0.73;;;-0.131;-0.22;;
-0.568;-0.79;;;-0.111;-0.06;;;-0.403;-0.73;;;-0.151;-0.27;;
-0.574;-0.79;;;-0.129;-0.11;;;-0.402;-0.73;;;-0.172;-0.32;;
-0.577;-0.79;;;-0.148;-0.16;;;-0.394;-0.73;;;-0.194;-0.37;;
-0.579;-0.79;;;-0.171;-0.21;;;-0.383;-0.73;;;-0.214;-0.4;;
-0.575;-0.79;;;-0.196;-0.26;;;-0.369;-0.73;;;-0.232;-0.43;;
-0.568;-0.79;;;-0.223;-0.31;;;-0.355;-0.73;;;-0.246;-0.45;;
-0.558;-0.79;;;-0.252;-0.35;;;-0.343;-0.72;;;-0.258;-0.47;;
-0.548;-0.79;;;-0.281;-0.39;;;-0.33;-0.72;;;-0.265;-0.48;;
-0.538;-0.79;;;-0.308;-0.42;;;-0.316;-0.72;;;-0.266;-0.48;;
-0.526;-0.79;;;-0.332;-0.44;;;-0.302;-0.72;;;-0.258;-0.48;;
-0.514;-0.78;;;-0.348;-0.45;;;-0.289;-0.71;;;-0.237;-0.47;;
-0.501;-0.78;;;-0.357;-0.46;;;-0.277;-0.71;;;-0.214;-0.47;;
-0.487;-0.78;;;-0.357;-0.46;;;-0.264;-0.7;;;-0.19;-0.46;;
-0.472;-0.78;;;-0.338;-0.46;;;-0.251;-0.7;;;-0.165;-0.45;;
-0.457;-0.78;;;-0.308;-0.45;;;-0.238;-0.69;;;-0.141;-0.44;;
-0.442;-0.77;;;-0.274;-0.44;;;-0.226;-0.69;;;-0.119;-0.42;;
-0.425;-0.77;;;-0.238;-0.43;;;-0.214;-0.68;;;-0.098;-0.4;;
-0.409;-0.77;;;-0.205;-0.42;;;-0.202;-0.68;;;-0.079;-0.38;;
-0.393;-0.76;;;-0.172;-0.4;;;-0.191;-0.67;;;-0.06;-0.36;;
-0.376;-0.76;;;-0.143;-0.38;;;-0.178;-0.66;;;-0.043;-0.33;;
-0.357;-0.76;;;-0.114;-0.35;;;-0.168;-0.66;;;-0.028;-0.3;;
-0.341;-0.75;;;-0.088;-0.32;;;-0.157;-0.65;;;-0.013;-0.26;;
-0.322;-0.74;;;-0.065;-0.29;;;-0.145;-0.64;;;-0.001;-0.23;;
-0.304;-0.74;;;-0.043;-0.25;;;-0.135;-0.63;;;0.012;-0.18;;
-0.286;-0.73;;;-0.023;-0.21;;;-0.124;-0.62;;;0.021;-0.14;;
-0.269;-0.72;;;-0.006;-0.16;;;-0.114;-0.61;;;0.031;-0.09;;
-0.251;-0.71;;;0.007;-0.11;;;-0.103;-0.6;;;0.042;-0.04;;
-0.233;-0.7;;;0.02;-0.06;;;-0.093;-0.59;;;0.052;0.01;;
-0.216;-0.69;;;0.032;-0.01;;;-0.084;-0.57;;;0.064;0.07;;
-0.199;-0.68;;;0.044;0.04;;;-0.074;-0.56;;;0.075;0.12;;
-0.181;-0.67;;;0.056;0.09;;;-0.065;-0.55;;;0.089;0.17;;
-0.165;-0.66;;;0.068;0.15;;;-0.057;-0.53;;;0.105;0.22;;
