Corriente;Flujo;Integral;;;;;
0.268;0.09;;;;;;
0.283;0.12;;;;;;
0.298;0.15;;;;;;
0.315;0.17;;;;;;
0.33;0.2;;;;;;
0.344;0.22;;;;;;
0.359;0.25;;;;;;
0.373;0.27;;;;;;
0.387;0.29;;;;;;
0.401;0.31;;;;;;
0.412;0.33;;;;;;
0.424;0.35;;;;;;
0.435;0.37;;;;;;
0.446;0.39;;;;;;
0.455;0.4;;;;;;
0.463;0.42;;;;;;
0.47;0.43;;;;;;
0.476;0.44;;;;;;
0.481;0.45;;;;;;
0.486;0.46;;;;;;
0.488;0.47;;;;;;
0.49;0.48;;;;;;
0.489;0.49;;;;;;
0.487;0.49;;;;;;
0.483;0.5;;;;;;
0.479;0.5;;;;;;
0.472;0.5;;;;;;
0.464;0.5;;;;;;
0.455;0.5;;;;;;
0.443;0.5;;;;;;
0.429;0.5;;;;;;
0.414;0.5;;;;;;
0.397;0.5;;;;;;
0.381;0.49;;;;;;
0.362;0.49;;;;;;
0.344;0.49;;;;;;
0.325;0.49;;;;;;
0.305;0.48;;;;;;
0.285;0.48;;;;;;
0.265;0.47;;;;;;
0.244;0.47;;;;;;
0.224;0.46;;;;;;
0.203;0.46;;;;;;
0.181;0.45;;;;;;
0.16;0.45;;;;;;
0.139;0.44;;;;;;
0.117;0.43;;;;;;
0.096;0.42;;;;;;
0.072;0.41;;;;;;
0.053;0.41;;;;;;
0.034;0.4;;;;;;
0.013;0.38;;;;;;
-0.006;0.37;;;;;;
-0.025;0.36;;;;;;
-0.023;0.35;;;;;;
0.007;0.35;;;;;;
0.006;0.35;;;;;;
-0.043;0.34;;;;;;
-0.07;0.33;;;;;;
-0.089;0.31;;;;;;
-0.103;0.3;;;;;;
-0.118;0.28;;;;;;
-0.131;0.26;;;;;;
-0.142;0.25;;;;;;
-0.153;0.23;;;;;;
-0.165;0.21;;;;;;
-0.175;0.19;;;;;;
-0.186;0.17;;;;;;
-0.203;0.15;;;;;;
-0.221;0.12;;;;;;
-0.236;0.1;;;;;;
-0.25;0.07;;;;;;
-0.265;0.05;;;;;;
-0.281;0.02;;;;;;
-0.295;-0.01;;;;;;
-0.307;-0.03;;;;;;
-0.32;-0.05;;;;;;
-0.334;-0.08;;;;;;
-0.347;-0.1;;;;;;
-0.361;-0.12;;;;;;
-0.375;-0.15;;;;;;
-0.387;-0.17;;;;;;
-0.398;-0.19;;;;;;
-0.408;-0.21;;;;;;
-0.418;-0.23;;;;;;
-0.427;-0.24;;;;;;
-0.433;-0.26;;;;;;
-0.44;-0.27;;;;;;
-0.445;-0.29;;;;;;
-0.45;-0.3;;;;;;
-0.453;-0.31;;;;;;
-0.456;-0.32;;;;;;
-0.456;-0.33;;;;;;
-0.456;-0.34;;;;;;
-0.453;-0.34;;;;;;
-0.45;-0.35;;;;;;
-0.446;-0.35;;;;;;
-0.439;-0.35;;;;;;
-0.431;-0.35;;;;;;
-0.422;-0.36;;;;;;
-0.414;-0.36;;;;;;
-0.402;-0.36;;;;;;
-0.384;-0.35;;;;;;
-0.366;-0.35;;;;;;
-0.35;-0.35;;;;;;
-0.334;-0.35;;;;;;
-0.313;-0.34;;;;;;
-0.291;-0.34;;;;;;
-0.272;-0.34;;;;;;
-0.254;-0.33;;;;;;
-0.235;-0.33;;;;;;
-0.216;-0.32;;;;;;
-0.198;-0.32;;;;;;
-0.178;-0.31;;;;;;
-0.16;-0.31;;;;;;
-0.141;-0.3;;;;;;
-0.121;-0.29;;;;;;
-0.102;-0.29;;;;;;
-0.081;-0.28;;;;;;
-0.064;-0.27;;;;;;
-0.054;-0.26;;;;;;
-0.046;-0.26;;;;;;
-0.04;-0.25;;;;;;
-0.035;-0.25;;;;;;
-0.025;-0.24;;;;;;
0.003;-0.24;;;;;;
0.021;-0.22;;;;;;
0.037;-0.21;;;;;;
0.059;-0.2;;;;;;
0.075;-0.19;;;;;;
0.097;-0.17;;;;;;
0.113;-0.15;;;;;;
0.129;-0.14;;;;;;
0.143;-0.12;;;;;;
